Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
70394,Energy optimization in smart urban buildings using bio-inspired ant colony optimization,(B/T) Computer Science;(PHY) Energy;(PHY) Engineering - Electrical;,"Department of Information and Computer Science, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Interdisciplinary Research Centre for Intelligent Secure Systems, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Institute of Management Sciences, 4500, Peshawar, Pakistan;",Soft Computing,Springer - Nature Publishing Group,Pakistan;Saudi Arabia,Fakhri Alam Khan;Kifayat Ullah;Atta ur Rahman;Sajid Anwar,,Research Article;,2026-01-21,10.1007/s00500-026-11202-4,0.0,2022-10-15,10.1007/s00500-022-07537-3,0.0,Retraction,Compromised Peer Review;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
70315,Fusion of multi-modality biomedical images using deep neural networks,(B/T) Computer Science;(HSC) Radiology/Imaging;,"Department of Computer Science & Engineering, Moradabad Institute of Technology, Moradabad, 244001, India; Department of Computer Science & Engineering, Maharaja Surajmal Institute of Technology, Janakpuri, New Delhi, 110058, India; Computer Sciences Department, College of CIT, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia;",Soft Computing,Springer - Nature Publishing Group,India;Saudi Arabia,Manish Gupta;Naresh Kumar;Neha Gupta;Atef Zaguia,,Research Article;,2026-02-02,10.1007/s00500-026-11228-8,0.0,2022-04-08,10.1007/s00500-022-07047-2,0.0,Retraction,Compromised Peer Review;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Objections by Author(s);Rogue Editor;Unreliable Results and/or Conclusions;,No,
69707,Unreferenced English articles’ translation quality-oriented automatic evaluation technology using sparse autoencoder under the background of deep learning,(B/T) Computer Science;(SOC) Linguistics;,"School of Foreign Languages, Fuzhou University of International Studies and Trade, Fuzhou City, China; Graduate School, Angeles University Foundation, Angeles City, Philippines; Rockchip Electronics Co., Ltd., Fuzhou City, China;",PLoS One,PLoS,China;Philippines,Hanhui Li;Jie Deng,,Research Article;,2025-04-23,10.1371/journal.pone.0322063,40267925.0,2022-07-13,10.1371/journal.pone.0270308,35830434.0,Retraction,Concerns/Issues about Article;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/460C6D357A70BD9486BD1395B0C953
69704,Fine-granularity inference and estimations to network traffic for SDN,(B/T) Computer Science;,"School of Astronautics and Aeronautic, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, Northeastern University, Shenyang, China;",PLoS One,PLoS,China,Dingde Jiang;Liuwei Huo;Ya Li,,Research Article;,2025-04-23,10.1371/journal.pone.0322071,40267929.0,2018-05-02,10.1371/journal.pone.0194302,29718913.0,Retraction,Concerns/Issues about Article;Concerns/Issues about Peer Review;Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/E28D270EF4E881FE7F68047F063C52
69701,Design and interactive performance of human resource management system based on artificial intelligence,(B/T) Business - Management;(B/T) Computer Science;(B/T) Technology;,"Business School, Hohai University, Nanjing, China; Jiangsu Branch of China Mobile Group, Nanjing, China; School of Data Science and Software Engineering, Qingdao University, Qingdao, China;",PLoS One,PLoS,China,Yangda Gong;Min Zhao;Qin Wang;Zhihan Lv,,Research Article;,2025-04-23,10.1371/journal.pone.0322049,40267945.0,2022-01-28,10.1371/journal.pone.0262398,35089946.0,Retraction,Compromised Peer Review;Concerns/Issues about Article;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/05E4876C53E68A013297E858581683
69700,Craniofacial similarity analysis through sparse principal component analysis,(B/T) Computer Science;(PHY) Forensic Sciences;,"School of Data Science and Software Engineering, Qingdao University, Qingdao, China; College of Automation and Electrical Engineering, Qingdao University, Qingdao, China; Engineering Research Center of Virtual Reality and Applications, Ministry of Education, Beijing, China; College of Information Science and Technology, Beijing Normal University, Beijing, China; College of Computer Science & Technology, Qingdao University, Qingdao, China;",PLoS One,PLoS,China,Junli Zhao;Fuqing Duan;Zhenkuan Pan;Zhongke Wu;Jinhua Li;Qingqiong Deng;Xiaona Li;Mingquan Zhou,,Research Article;,2025-04-23,10.1371/journal.pone.0322066,40267936.0,2017-06-22,10.1371/journal.pone.0179671,28640836.0,Retraction,Compromised Peer Review;Concerns/Issues about Article;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/F5051A4D9AA3D9864098869B14B57F
69630,A novel image encryption scheme based on quantum dynamical spinning and rotations,(B/T) Computer Science;(PHY) Statistics;,"Department of Applied Mathematics and Statistics, Institute of Space Technology, Islamabad, Pakistan; Department of Electrical Engineering, Institute of Space Technology, Islamabad, Pakistan;",PLoS One,PLoS,Pakistan,Majid Khan;Hafiz Muhammad Waseem,,Research Article;,2025-12-17,10.1371/journal.pone.0338963,41406081.0,2018-11-19,10.1371/journal.pone.0206460,30452455.0,Retraction,Cites Retracted Work;Compromised Peer Review;Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Article;Concerns/Issues about Peer Review;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Objections by Author(s);,No,
69445,A deep facial recognition system using computational intelligent algorithms,(B/T) Computer Science;(B/T) Technology;,"Department of Information Systems, Faculty of Computers and Artificial Intelligence, Benha University, Benha City, Egypt; Department of Computer Science, Faculty of Computers and Informatics, Misr International University, Cairo, Egypt; Department of Computer Science, Faculty of Computers and Artificial Intelligence, Benha University, Benha City, Egypt; Department of Scientific Computing, Faculty of Computers and Artificial Intelligence, Benha University, Benha City, Egypt; Department of Computer Science, Higher Technological Institute, 10th of Ramadan City, Egypt;",PLoS One,PLoS,Egypt,Diaa Salama AbdELminaam;Abdulrhman M Almansori;Mohamed Taha;Elsayed Badr,,Research Article;,2026-02-12,10.1371/journal.pone.0342725,41678437.0,2020-12-03,10.1371/journal.pone.0242269,33270670.0,Retraction,Author Unresponsive;Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;Duplication of Text;Error in Text;Euphemisms for Plagiarism;Plagiarism of/in Article;,No,See also: https://pubpeer.com/publications/EBEF3F0CB938B45F37F855DA8CBF37
69341,A REVIEW ON NATURAL LANGUAGE PROCESSING Report: Statistics and Facts,(B/T) Computer Science;(B/T) Data Science;(SOC) Linguistics;,"Department of Electronics and communication Engineering Sona college of Technology, Salem – 636005;",IOP Conference Series: Materials Science and Engineering,IOP Publishing,India,PM Dinesh;J Hariraj Kumar;S Chandra Sekar;M Swarnambiga;S Ranjani,,Review Article;,2026-01-16,10.1088/1757-899X/1084/1/012136,0.0,2020-12-11,10.1088/1757-899X/1084/1/012037,0.0,Retraction,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Euphemisms for Plagiarism;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Plagiarism of Text;,No,See also: https://pubpeer.com/publications/FD1118EA836C25C74C89A7F76E23C8
67164,An efficient post-processing adaptive filtering technique to rectifying the flickering effects,(B/T) Computer Science;(B/T) Technology;,"Department of Electronics and Communication Engineering, IKG-Punjab Technical University Jalandhar, Punjab, India; Department of Electronics and Communication Engineering, DAVIET Jalandhar, Punjab, India; Department of Computer Science and Engineering, Chandigarh University, Mohali, Punjab, India; School of Computer Science and Engineering, SCE Taylor’s University, Subang Jaya, Malaysia; Graduate School, Duy Tan University, Da Nang, Viet Nam, Faculty of Information Technology, Duy Tan University, Da Nang, Viet Nam; Department of Mathematics, Faculty of Science, Mansoura University, Mansoura, Egypt; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, Michigan, United States of America; Department of Computer Science and Engineering, Soonchunhyang University, Asan, Korea;",PLoS One,PLoS,Egypt;India;Malaysia;South Korea;United States;Vietnam,Anudeep Gandam;Jagroop Singh Sidhu;Sahil Verma;N Z Jhanjhi;Anand Nayya;Mohamed Abouhawwash;Yunyoung Nam,,Research Article;,2025-05-01,10.1371/journal.pone.0323914,40310859.0,2021-05-10,10.1371/journal.pone.0250959,33970949.0,Retraction,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Article;Duplication of/in Article;Euphemisms for Duplication;Investigation by Third Party;Objections by Author(s);Removed;Unreliable Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,No,see also: https://pubpeer.com/publications/5D3AC5EE8F77D1FECAC29D4B8E9A22
66918,"Éclaircissement to Understand Consumers’ Decision-Making Psyche and Gender Effects, a Fuzzy Set Qualitative Comparative Analysis",(B/T) Business - Marketing;(B/T) Computer Science;(SOC) Psychology;,"College of Economics and Management, Beijing University of Technology, Beijing, China; South Asian Research Centre, School of Public Administration, Xiangtan University, Xiangtan, China; Department of Computer Science, College of Computers and Information Technology, Taif University, Taif, Saudi Arabia; Department of Industrial and Systems Engineering, College of Engineering, University of Jeddah, Jeddah, Saudi Arabia; Department of Mechanical and Materials Engineering, College of Engineering, University of Jeddah, Jeddah, Saudi Arabia; Department of Business Administration, National College of Business Administration and Economics, Lahore, Pakistan;",Frontiers in Psychology,Frontiers,China;Pakistan;Saudi Arabia,Sohaib Mustafa;Muhammad Tayyab Sohail;Roobaea Alroobaea;Saeed Rubaiee;A Anas;Asem Majed Othman;Muhammad Nawaz,https://retractionwatch.com/2025/07/29/frontiers-retract-122-articles-links-thousands-other-publishers-journals-to-unethical-network/,Research Article;,2025-08-07,10.3389/fpsyg.2025.1675271,40851599.0,2022-06-02,10.3389/fpsyg.2022.920594,35719580.0,Retraction,Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Conflict of Interest;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
66598,"Testing Environmental Kuznets Curve in the USA: What Role Institutional Quality, Globalization, Energy Consumption, Financial Development, and Remittances can Play? New Evidence From Dynamic ARDL Simulations Approach",(B/T) Business - Economics;(B/T) Computer Science;(ENV) Environmental Sciences;(PHY) Energy;,"School of Economics and Management, Northeast Normal University, Changchun, China; Management Studies Department, Bahria Business School, Bahria University, Islamabad, Pakistan; Amity School of Economics, Amity University Uttar Pradesh, Noida, India; Technology Management, Economics, and Policy Program, College of Engineering, Seoul National University, Seoul, South Korea; Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI), Swabi, Pakistan; Department of Economics, Birmingham Business School, College of Social Sciences, University of Birmingham, Birmingham, United Kingdom; Department of Commerce, Agasti Arts, Commerce and Dadasaheb Rupwate Science College, Savitribai Phule Pune University, Pune, India;",Frontiers in Environmental Science,Frontiers,China;India;Pakistan;South Korea;United Kingdom,Muhammad Imran Khan;Muhammad Kamran Khan;Vishal Dagar;Bahareh Oryani;Syeda Saba Akbar;Sultan Salem;Sayyad Mahejabin Dildar,https://retractionwatch.com/2025/07/29/frontiers-retract-122-articles-links-thousands-other-publishers-journals-to-unethical-network/,Research Article;,2025-08-07,10.3389/fenvs.2025.1674690,0.0,2021-12-13,10.3389/fenvs.2021.789715,0.0,Retraction,Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Conflict of Interest;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
65974,Structure optimization and preparation of power system grounding grid based on similarity data analysis algorithm,(B/T) Computer Science;(B/T) Technology;(PHY) Energy;(PHY) Engineering - General;,"School of Electrical and Electronic Engineering, Shandong University of Technology, Zibo, China; Construction Branch of State Grid Jiangsu Electric Power Co, LTD, Nanjing, China; Samsung Electronics, 129, Samseong-ro Yeongtong-gu Suwon-si, Gyeonggi-do 16677, Suwon-Si, South Korea; Electric Power Research Institute, China Southern Power Grid, Guangzhou, China;",The International Journal of Advanced Manufacturing Technology,Springer - Nature Publishing Group,China;South Korea,Yuanchao Hu;Tao Huang;Seunggil Jeon;Changqing Du;Yunzhu An;Shangmao Hu,,Research Article;,2024-05-10,10.1007/s00170-022-09665-4,0.0,2022-07-15,10.1007/s00170-022-09665-4,0.0,Retraction,Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
65205,A new design for 4-bit RCA using quantum cellular automata technology,(B/T) Computer Science;(B/T) Technology;,"Department of Computer Engineering, Tabriz Branch, Islamic Azad University, Tabriz, Iran; Young Researchers and Elite Club, Urmia Branch, Islamic Azad University, Urmia, Iran;",Optical and Quantum Electronics,Springer - Nature Publishing Group,Iran,Saeid Seyedi;Behrouz Pourghebleh,,Research Article;,2024-11-11,10.1007/s11082-024-07822-5,0.0,2022-11-13,10.1007/s11082-022-04214-5,0.0,Retraction,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
64908,The mechanism of digitized landscape architecture design under edge computing,(B/T) Computer Science;(B/T) Technology;(BLS) Agriculture;(HUM) Architecture;,"School of Landscape Architecture, Nanjing Forestry University, Nanjing, Jiangsu, China;",PLoS One,PLoS,China,Haoqi Wu;Jun Yan,,Research Article;,2024-05-01,10.1371/journal.pone.0303114,38691563.0,2021-09-23,10.1371/journal.pone.0252087,34555046.0,Retraction,Concerns/Issues about Peer Review;Duplication of/in Article;Euphemisms for Duplication;Compromised Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
